N	rep	n_lines	threshold	chromosome
82273	14	64	0.125	3L
65803	14	64	0.125	3R
52694	14	64	0.125	X
27290	14	64	0.25	2L
23895	14	64	0.25	2R
31256	14	64	0.25	3L
23122	14	64	0.25	3R
21720	14	64	0.25	X
192916	14	128	0.05	2L
167449	14	128	0.05	2R
204825	14	128	0.05	3L
168694	14	128	0.05	3R
124080	14	128	0.05	X
71819	14	128	0.125	2L
61338	14	128	0.125	2R
80478	14	128	0.125	3L
57162	14	128	0.125	3R
51089	14	128	0.125	X
27384	14	128	0.25	2L
23223	14	128	0.25	2R
30084	14	128	0.25	3L
20176	14	128	0.25	3R
20962	14	128	0.25	X
30282	15	2	0.05	2L
27742	15	2	0.05	2R
22903	15	2	0.05	3L
39328	15	2	0.05	3R
15876	15	2	0.05	X
59386	15	2	0.125	2L
27349	15	2	0.125	2R
15594	15	2	0.125	3L
33697	15	2	0.125	3R
24638	15	2	0.125	X
34745	15	2	0.25	2L
12675	15	2	0.25	2R
23526	15	2	0.25	3L
24680	15	2	0.25	3R
14744	15	2	0.25	X
77172	15	4	0.05	2L
51779	15	4	0.05	2R
96916	15	4	0.05	3L
88258	15	4	0.05	3R
54556	15	4	0.05	X
65688	15	4	0.125	2L
41433	15	4	0.125	2R
53787	15	4	0.125	3L
56469	15	4	0.125	3R
54745	15	4	0.125	X
69919	15	4	0.25	2L
52887	15	4	0.25	2R
85719	15	4	0.25	3L
38110	15	4	0.25	3R
33565	15	4	0.25	X
124689	15	8	0.05	2L
81790	15	8	0.05	2R
144303	15	8	0.05	3L
110703	15	8	0.05	3R
87647	15	8	0.05	X
131934	15	8	0.125	2L
102174	15	8	0.125	2R
178628	15	8	0.125	3L
128852	15	8	0.125	3R
90673	15	8	0.125	X
48247	15	8	0.25	2L
32782	15	8	0.25	2R
37831	15	8	0.25	3L
42705	15	8	0.25	3R
48828	15	8	0.25	X
230315	15	16	0.05	2L
145609	15	16	0.05	2R
241178	15	16	0.05	3L
176969	15	16	0.05	3R
144738	15	16	0.05	X
106073	15	16	0.125	2L
114450	15	16	0.125	2R
109316	15	16	0.125	3L
77889	15	16	0.125	3R
70738	15	16	0.125	X
50499	15	16	0.25	2L
36002	15	16	0.25	2R
42915	15	16	0.25	3L
31949	15	16	0.25	3R
33465	15	16	0.25	X
195234	15	32	0.05	2L
139363	15	32	0.05	2R
200848	15	32	0.05	3L
149814	15	32	0.05	3R
120039	15	32	0.05	X
81079	15	32	0.125	2L
85866	15	32	0.125	2R
94559	15	32	0.125	3L
70269	15	32	0.125	3R
60703	15	32	0.125	X
31290	15	32	0.25	2L
26807	15	32	0.25	2R
38127	15	32	0.25	3L
24644	15	32	0.25	3R
25144	15	32	0.25	X
208115	15	64	0.05	2L
178335	15	64	0.05	2R
211890	15	64	0.05	3L
170126	15	64	0.05	3R
126970	15	64	0.05	X
80099	15	64	0.125	2L
71239	15	64	0.125	2R
76109	15	64	0.125	3L
74433	15	64	0.125	3R
50492	15	64	0.125	X
28644	15	64	0.25	2L
22962	15	64	0.25	2R
30317	15	64	0.25	3L
22408	15	64	0.25	3R
20104	15	64	0.25	X
193929	15	128	0.05	2L
167599	15	128	0.05	2R
205601	15	128	0.05	3L
168558	15	128	0.05	3R
124321	15	128	0.05	X
71840	15	128	0.125	2L
61184	15	128	0.125	2R
80353	15	128	0.125	3L
57310	15	128	0.125	3R
50500	15	128	0.125	X
27060	15	128	0.25	2L
23185	15	128	0.25	2R
30036	15	128	0.25	3L
20176	15	128	0.25	3R
20916	15	128	0.25	X
41858	16	2	0.05	2L
20404	16	2	0.05	2R
61647	16	2	0.05	3L
23020	16	2	0.05	3R
35868	16	2	0.05	X
39188	16	2	0.125	2L
20618	16	2	0.125	2R
28216	16	2	0.125	3L
13912	16	2	0.125	3R
21255	16	2	0.125	X
20321	16	2	0.25	2L
21310	16	2	0.25	2R
51618	16	2	0.25	3L
34596	16	2	0.25	3R
24842	16	2	0.25	X
88710	16	4	0.05	2L
77552	16	4	0.05	2R
63316	16	4	0.05	3L
37965	16	4	0.05	3R
44252	16	4	0.05	X
57044	16	4	0.125	2L
